alpha,V_exp,V_cvar,V_cvar_montecarlo
0.0,,0.8549999999999999,2.8499999999999988
0.01,,2.849999999999992,2.8499999999999988
0.012742749857031334,,2.849999999999986,2.8499999999999988
0.016237767391887217,,2.849999999999998,2.8499999999999988
0.0206913808111479,,2.8499999999999996,2.8499999999999988
0.02636650898730358,,2.849999999999996,2.8499999999999988
0.03359818286283781,,2.849999999999996,2.8499999999999988
0.04281332398719394,,2.85,2.8499999999999988
0.0545559478116852,,2.8500000000000005,2.8499999999999988
0.06951927961775606,,2.850000000000001,2.8499999999999988
0.08858667904100823,,2.8499999999999983,2.8499999999999988
0.11288378916846889,,2.8499999999999996,2.8499999999999988
0.14384498882876628,,2.85,2.8499999999999988
0.18329807108324356,,2.85,2.8499999999999988
0.23357214690901212,,2.85,2.8499999999999988
0.29763514416313175,,2.85,2.8499999999999988
0.37926901907322497,,3.0485544938618494,3.5151890500000067
0.4832930238571752,,3.210295646882285,3.5151890500000067
0.615848211066026,,3.3372236293312145,3.5151890500000067
0.7847599703514611,,3.4368316290746064,3.5151890500000067
1.0,3.5149999999999997,3.5149999999999997,3.5151890500000067
